Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;36.92;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;29.41;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;46.67;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;38.89;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;42.5;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.81;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;49.67;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;20.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;35.26;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;38.16;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;19.13;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.73;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;31.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;25.71;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.29;Apartamento
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;0.0;35.56;Apartamento
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;0.0;33.33;Apartamento
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;38.75;Apartamento
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;0.0;35.14;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;38.0;Apartamento
Apartamento;Ipanema;4;1;3;250;12000.0;2300.0;1037.0;48.0;Apartamento
Apartamento;Barra da Tijuca;4;3;2;260;7500.0;3550.0;350.0;28.85;Apartamento
Apartamento;Barra da Tijuca;4;3;3;180;7000.0;1935.0;449.0;38.89;Apartamento
Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0;37.04;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313.0;0.0;27.27;Apartamento
Apartamento;Ipanema;3;3;3;169;9000.0;2300.0;886.0;53.25;Apartamento
Apartamento;Flamengo;4;2;2;423;12000.0;3795.0;1253.0;28.37;Apartamento
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0;44.59;Apartamento
Apartamento;Copacabana;2;0;0;110;2800.0;800.0;120.0;25.45;Apartamento
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0;34.29;Apartamento
Apartamento;Copacabana;5;1;1;400;8500.0;2160.0;365.0;21.25;Apartamento
Apartamento;Ipanema;2;1;0;45;3000.0;575.0;25.0;66.67;Apartamento
Apartamento;Leblon;2;0;0;100;3800.0;900.0;195.0;38.0;Apartamento
